Sponsor Name,Party,Current,Sponsored Count,Cosponsored Count,Weighted Score,Score Relative to Expectation,Rank
"Sen. Scott, Hugh",Republican,False,13,37,13.874,3.541,1
"Sen. Sinema, Kyrsten",Democratic,True,2,4,1.091,3.335,2
"Sen. Jackson, Henry M.",Democratic,False,62,100,48.921,3.331,3
"Sen. Cannon, Howard W.",Democratic,False,48,69,41.756,3.126,4
"Sen. Campbell, Ben Nighthorse",Republican,False,37,55,24.316,2.824,5
"Sen. Hatch, Orrin G.",Republican,False,93,439,83.481,2.744,6
"Sen. Sparkman, John J.",Democratic,False,27,27,25.152,2.721,7
"Sen. Magnuson, Warren G.",Democratic,False,35,70,32.760,2.667,8
"Sen. Fulbright, James",Democratic,False,11,8,8.981,2.486,9
"Sen. Kennedy, John",Republican,True,6,34,4.342,2.460,10
"Sen. Bartlett, Dewey F.",Republican,False,13,18,13.117,2.352,11
"Sen. Hawley, Josh ",Republican,True,1,5,0.695,2.318,12
"Sen. Brown, Scott P.",Republican,False,2,6,1.146,2.210,13
"Sen. Kennedy, Edward M.",Democratic,False,83,411,69.023,2.209,14
"Sen. Pastore, John O.",Democratic,False,17,26,13.714,2.177,15
"Sen. DeConcini, Dennis",Democratic,False,49,307,39.404,2.175,16
"Sen. Mathias, Charles McC., Jr.",Republican,False,33,129,30.826,2.092,17
"Sen. Javits, Jacob K.",Republican,False,11,89,14.390,2.049,18
"Sen. Sullivan, Dan ",Republican,True,6,30,5.644,2.044,19
"Sen. Cranston, Alan",Democratic,False,62,318,46.641,2.044,20
"Sen. Dole, Robert J.",Republican,False,50,335,42.134,1.993,21
"Sen. Thurmond, Strom",Republican,False,49,405,50.016,1.942,22
"Sen. Rosen, Jacky",Democratic,True,1,6,0.629,1.924,23
"Sen. Packwood, Bob",Republican,False,31,199,40.097,1.897,24
"Sen. Moss, Frank E.",Democratic,False,13,42,11.935,1.894,25
"Sen. Feinstein, Dianne",Democratic,True,28,187,25.658,1.852,26
"Sen. Leahy, Patrick J.",Democratic,True,74,355,61.193,1.851,27
"Sen. Moynihan, Daniel Patrick",Democratic,False,41,317,38.059,1.827,28
"Sen. Heitkamp, Heidi",Democratic,False,4,43,5.102,1.797,29
"Sen. Johnson, Ron",Republican,True,8,27,6.992,1.784,30
"Sen. McCain, John",Republican,False,34,223,34.149,1.742,31
"Sen. Rubio, Marco",Republican,True,7,61,6.772,1.728,32
"Sen. Blunt, Roy",Republican,True,7,58,6.767,1.726,33
"Sen. Dominick, Peter H.",Republican,False,3,17,3.458,1.718,34
"Sen. Murkowski, Lisa",Republican,True,14,101,15.226,1.715,35
"Sen. McClure, James A.",Republican,False,32,171,30.274,1.704,36
"Sen. Anderson, Wendell R.",Democratic,False,6,0,5.000,1.698,37
"Sen. Abourezk, James",Democratic,False,14,37,15.694,1.697,38
"Sen. Melcher, John",Democratic,False,24,108,20.541,1.685,39
"Sen. Domenici, Pete V.",Republican,False,54,309,49.726,1.657,40
"Sen. Thune, John",Republican,True,15,58,11.375,1.600,41
"Sen. Stevens, Ted",Republican,False,45,357,47.747,1.591,42
"Sen. Pell, Claiborne",Democratic,False,38,344,39.433,1.584,43
"Sen. Inouye, Daniel K.",Democratic,False,46,475,52.291,1.561,44
"Sen. Cornyn, John",Republican,True,17,91,13.829,1.557,45
"Sen. Proxmire, William",Democratic,False,32,68,28.605,1.547,46
"Sen. Hartke, Vance",Democratic,False,13,23,9.712,1.542,47
"Sen. Begich, Mark",Democratic,False,3,38,4.611,1.523,48
"Sen. Simon, Paul",Democratic,False,15,240,15.072,1.476,49
"Sen. Eastland, James O.",Democratic,False,14,22,13.614,1.473,50
"Sen. Ervin, Sam J., Jr.",Democratic,False,6,9,5.306,1.469,51
"Sen. Duckworth, Tammy",Democratic,True,3,19,1.979,1.465,52
"Sen. Abraham, Spencer",Republican,False,11,41,7.221,1.465,53
"Sen. Randolph, Jennings",Democratic,False,17,172,21.401,1.457,54
"Sen. Murkowski, Frank H.",Republican,False,28,233,27.263,1.455,55
"Sen. Goldwater, Barry",Republican,False,22,121,21.365,1.450,56
"Sen. Garn, E. J. (Jake)",Republican,False,23,183,24.445,1.446,57
"Sen. Bingaman, Jeff",Democratic,False,23,221,29.109,1.445,58
"Sen. Mansfield, Mike",Democratic,False,10,31,9.023,1.432,59
"Sen. Klobuchar, Amy",Democratic,True,12,119,10.026,1.428,60
"Sen. Gurney, Edward J.",Republican,False,1,18,2.850,1.416,61
"Sen. Akaka, Daniel K.",Democratic,False,24,130,17.732,1.411,62
"Sen. Allard, Wayne",Republican,False,10,58,12.518,1.410,63
"Sen. Percy, Charles H.",Republican,False,17,109,17.329,1.404,64
"Sen. Collins, Susan M.",Republican,True,20,171,18.898,1.400,65
"Sen. Talmadge, Herman E.",Democratic,False,20,38,17.082,1.391,66
"Sen. Fong, Hiram L.",Republican,False,5,12,5.411,1.381,67
"Sen. Voinovich, George V.",Republican,False,12,62,10.863,1.381,68
"Sen. Tester, Jon",Democratic,True,7,80,9.519,1.356,69
"Sen. McClellan, John L.",Democratic,False,13,16,12.467,1.349,70
"Sen. Schumer, Charles E.",Democratic,True,16,136,14.595,1.339,71
"Sen. Wyden, Ron",Democratic,True,17,101,15.633,1.328,72
"Sen. Hatfield, Mark O.",Republican,False,32,179,27.945,1.322,73
"Sen. Gardner, Cory",Republican,True,5,32,3.636,1.317,74
"Sen. Frist, William H.",Republican,False,13,60,11.899,1.315,75
"Sen. DeWine, Mike",Republican,False,15,83,11.864,1.311,76
"Sen. Harkin, Tom",Democratic,False,31,150,25.541,1.304,77
"Sen. Williams, Harrison A., Jr.",Democratic,False,18,113,17.408,1.303,78
"Sen. Corker, Bob",Republican,False,6,31,6.670,1.290,79
"Sen. Eagleton, Thomas F.",Democratic,False,25,80,20.363,1.266,80
"Sen. Enzi, Michael B.",Republican,True,15,113,17.062,1.264,81
"Sen. Grassley, Chuck",Republican,True,37,356,34.684,1.256,82
"Sen. Riegle, Donald W., Jr.",Democratic,False,26,286,22.574,1.246,83
"Sen. Matsunaga, Spark M.",Democratic,False,14,211,18.243,1.246,84
"Sen. Kyl, Jon",Republican,False,13,60,13.830,1.244,85
"Sen. Levin, Carl",Democratic,False,28,360,31.062,1.241,86
"Sen. Church, Frank",Democratic,False,16,47,15.217,1.239,87
"Sen. Portman, Rob",Republican,True,8,35,4.842,1.235,88
"Sen. Craig, Larry E.",Republican,False,19,110,14.939,1.220,89
"Sen. Peters, Gary C.",Democratic,True,3,43,2.923,1.218,90
"Sen. Burdick, Quentin N.",Democratic,False,26,310,27.361,1.199,91
"Sen. Wicker, Roger F.",Republican,True,8,55,6.554,1.198,92
"Sen. Hruska, Roman L.",Republican,False,6,13,4.630,1.182,93
"Sen. Dodd, Christopher J.",Democratic,False,22,324,23.954,1.175,94
"Sen. Lott, Trent",Republican,False,16,115,15.141,1.165,95
"Sen. Jeffords, James M.",Democratic,False,12,190,12.989,1.163,96
"Sen. D'Amato, Alfonse",Republican,False,19,282,18.367,1.160,97
"Sen. Lieberman, Joseph I.",Democratic,False,16,222,17.402,1.158,98
"Sen. Ayotte, Kelly",Republican,False,1,36,2.489,1.155,99
"Sen. Heinz, John",Republican,False,17,218,17.307,1.153,100
"Sen. Johnston, J. Bennett",Democratic,False,34,192,28.491,1.144,101
"Sen. Carper, Thomas R.",Democratic,True,13,74,10.879,1.140,102
"Sen. Griffin, Robert P.",Republican,False,5,19,6.280,1.126,103
"Sen. Hansen, Clifford P.",Republican,False,5,36,6.270,1.124,104
"Sen. Durbin, Richard J.",Democratic,True,12,175,13.187,1.120,105
"Sen. Bayh, Birch",Democratic,False,16,66,13.711,1.116,106
"Sen. Alexander, Lamar",Republican,True,10,74,9.896,1.114,107
"Sen. Cardin, Benjamin L.",Democratic,True,10,74,7.779,1.108,108
"Sen. Thomas, Craig",Republican,False,12,45,9.984,1.104,109
