Congress Number,Legislation Number,Name Bill,Number of Cosponsors,Sponsor,Cosponsor
103,S.J.Res. 99,False,72,"Sen. D'Amato, Alfonse [R-NY]",True,
103,S.J.Res. 99,False,72,"Sen. Biden, Joseph R., Jr. [D-DE]",True,
103,S.J.Res. 99,False,72,"Sen. Bradley, Bill [D-NJ]",True,
103,S.J.Res. 99,False,72,"Sen. Graham, Bob [D-FL]",True,
103,S.J.Res. 99,False,72,"Sen. Heflin, Howell [D-AL]",True,
103,S.J.Res. 99,False,72,"Sen. Hollings, Ernest F. [D-SC]",True,
103,S.J.Res. 99,False,72,"Sen. Inouye, Daniel K. [D-HI]",True,
103,S.J.Res. 99,False,72,"Sen. Johnston, J. Bennett [D-LA]",True,
103,S.J.Res. 99,False,72,"Sen. Lautenberg, Frank R. [D-NJ]",True,
103,S.J.Res. 99,False,72,"Sen. Mitchell, George J. [D-ME]",True,
103,S.J.Res. 99,False,72,"Sen. Pell, Claiborne [D-RI]",True,
103,S.J.Res. 99,False,72,"Sen. Specter, Arlen [R-PA]",True,
103,S.J.Res. 99,False,72,"Sen. Wellstone, Paul D. [D-MN]",True,
103,S.J.Res. 99,False,72,"Sen. Wofford, Harris [D-PA]",True,
103,S.J.Res. 99,False,72,"Sen. Bryan, Richard H. [D-NV]",True,
103,S.J.Res. 99,False,72,"Sen. Levin, Carl [D-MI]",True,
103,S.J.Res. 99,False,72,"Sen. Thurmond, Strom [R-SC]",True,
103,S.J.Res. 99,False,72,"Sen. Mikulski, Barbara A. [D-MD]",True,
103,S.J.Res. 99,False,72,"Sen. Akaka, Daniel K. [D-HI]",True,
103,S.J.Res. 99,False,72,"Sen. Kohl, Herb [D-WI]",True,
103,S.J.Res. 99,False,72,"Sen. Grassley, Chuck [R-IA]",True,
103,S.J.Res. 99,False,72,"Sen. Cochran, Thad [R-MS]",True,
103,S.J.Res. 99,False,72,"Sen. Stevens, Ted [R-AK]",True,
103,S.J.Res. 99,False,72,"Sen. Metzenbaum, Howard M. [D-OH]",True,
103,S.J.Res. 99,False,72,"Sen. Robb, Charles S. [D-VA]",True,
103,S.J.Res. 99,False,72,"Sen. Dole, Robert J. [R-KS]",True,
103,S.J.Res. 99,False,72,"Sen. Shelby, Richard C. [D-AL]",True,
103,S.J.Res. 99,False,72,"Sen. Reid, Harry [D-NV]",True,
103,S.J.Res. 99,False,72,"Sen. Simon, Paul [D-IL]",True,
103,S.J.Res. 99,False,72,"Sen. Boren, David L. [D-OK]",True,
103,S.J.Res. 99,False,72,"Sen. Pressler, Larry [R-SD]",True,
103,S.J.Res. 99,False,72,"Sen. Sarbanes, Paul S. [D-MD]",True,
103,S.J.Res. 99,False,72,"Sen. Warner, John [R-VA]",True,
103,S.J.Res. 99,False,72,"Sen. Riegle, Donald W., Jr. [D-MI]",True,
103,S.J.Res. 99,False,72,"Sen. Exon, J. James [D-NE]",True,
103,S.J.Res. 99,False,72,"Sen. Conrad, Kent [D-ND]",True,
103,S.J.Res. 99,False,72,"Sen. Craig, Larry E. [R-ID]",True,
103,S.J.Res. 99,False,72,"Sen. Gorton, Slade [R-WA]",True,
103,S.J.Res. 99,False,72,"Sen. Durenberger, Dave [R-MN]",True,
103,S.J.Res. 99,False,72,"Sen. Leahy, Patrick J. [D-VT]",True,
103,S.J.Res. 99,False,72,"Sen. Ford, Wendell H. [D-KY]",True,
103,S.J.Res. 99,False,72,"Sen. Cohen, William S. [R-ME]",True,
103,S.J.Res. 99,False,72,"Sen. Glenn, John H., Jr. [D-OH]",True,
103,S.J.Res. 99,False,72,"Sen. Moseley-Braun, Carol [D-IL]",True,
103,S.J.Res. 99,False,72,"Sen. Breaux, John B. [D-LA]",True,
103,S.J.Res. 99,False,72,"Sen. Kempthorne, Dirk [R-ID]",True,
103,S.J.Res. 99,False,72,"Sen. Kassebaum, Nancy Landon [R-KS]",True,
103,S.J.Res. 99,False,72,"Sen. Baucus, Max [D-MT]",True,
103,S.J.Res. 99,False,72,"Sen. Pryor, David H. [D-AR]",True,
103,S.J.Res. 99,False,72,"Sen. Roth Jr., William V. [R-DE]",True,
103,S.J.Res. 99,False,72,"Sen. Packwood, Bob [R-OR]",True,
103,S.J.Res. 99,False,72,"Sen. Jeffords, James M. [R-VT]",True,
103,S.J.Res. 99,False,72,"Sen. Dodd, Christopher J. [D-CT]",True,
103,S.J.Res. 99,False,72,"Sen. Burns, Conrad R. [R-MT]",True,
103,S.J.Res. 99,False,72,"Sen. Hatch, Orrin G. [R-UT]",True,
103,S.J.Res. 99,False,72,"Sen. Chafee, John H. [R-RI]",True,
103,S.J.Res. 99,False,72,"Sen. Gramm, Phil [R-TX]",True,
103,S.J.Res. 99,False,72,"Sen. Nunn, Sam [D-GA]",True,
103,S.J.Res. 99,False,72,"Sen. Simpson, Alan K. [R-WY]",True,
103,S.J.Res. 99,False,72,"Sen. Bond, Christopher S. [R-MO]",True,
103,S.J.Res. 99,False,72,"Sen. Feingold, Russell D. [D-WI]",True,
103,S.J.Res. 99,False,72,"Sen. Gregg, Judd [R-NH]",True,
103,S.J.Res. 99,False,72,"Sen. Lieberman, Joseph I. [D-CT]",True,
103,S.J.Res. 99,False,72,"Sen. Daschle, Thomas A. [D-SD]",True,
