Sponsor Name,Party,Sponsored Count,Cosponsored Count,Weighted Score,Score Relative to Expectation,Rank
"Sen. Sinema, Kyrsten",Democratic,2,4,1.091,3.335,2
"Sen. Kennedy, John",Republican,6,34,4.342,2.460,10
"Sen. Hawley, Josh ",Republican,1,5,0.695,2.318,12
"Sen. Sullivan, Dan ",Republican,6,30,5.644,2.044,19
"Sen. Rosen, Jacky",Democratic,1,6,0.629,1.924,23
"Sen. Feinstein, Dianne",Democratic,28,187,25.658,1.852,26
"Sen. Leahy, Patrick J.",Democratic,74,355,61.193,1.851,27
"Sen. Johnson, Ron",Republican,8,27,6.992,1.784,30
"Sen. Rubio, Marco",Republican,7,61,6.772,1.728,32
"Sen. Blunt, Roy",Republican,7,58,6.767,1.726,33
"Sen. Murkowski, Lisa",Republican,14,101,15.226,1.715,35
"Sen. Thune, John",Republican,15,58,11.375,1.600,41
"Sen. Cornyn, John",Republican,17,91,13.829,1.557,45
"Sen. Duckworth, Tammy",Democratic,3,19,1.979,1.465,52
"Sen. Klobuchar, Amy",Democratic,12,119,10.026,1.428,60
"Sen. Collins, Susan M.",Republican,20,171,18.898,1.400,65
"Sen. Tester, Jon",Democratic,7,80,9.519,1.356,69
"Sen. Schumer, Charles E.",Democratic,16,136,14.595,1.339,71
"Sen. Wyden, Ron",Democratic,17,101,15.633,1.328,72
"Sen. Gardner, Cory",Republican,5,32,3.636,1.317,74
"Sen. Enzi, Michael B.",Republican,15,113,17.062,1.264,81
"Sen. Grassley, Chuck",Republican,37,356,34.684,1.256,82
"Sen. Portman, Rob",Republican,8,35,4.842,1.235,88
"Sen. Peters, Gary C.",Democratic,3,43,2.923,1.218,90
"Sen. Wicker, Roger F.",Republican,8,55,6.554,1.198,92
"Sen. Carper, Thomas R.",Democratic,13,74,10.879,1.140,102
"Sen. Durbin, Richard J.",Democratic,12,175,13.187,1.120,105
"Sen. Alexander, Lamar",Republican,10,74,9.896,1.114,107
"Sen. Cardin, Benjamin L.",Democratic,10,74,7.779,1.108,108
"Sen. Boozman, John",Republican,6,52,4.304,1.098,111
"Sen. Daines, Steve",Republican,3,30,2.926,1.060,116
"Sen. Hirono, Mazie K.",Democratic,5,40,3.259,1.030,124
"Sen. Burr, Richard",Republican,9,78,7.264,1.022,126
"Sen. Fischer, Deb",Republican,4,36,3.269,0.961,137
"Sen. Whitehouse, Sheldon",Democratic,8,84,6.665,0.950,142
"Sen. Merkley, Jeff",Democratic,4,52,5.013,0.924,151
"Sen. Tillis, Thom",Republican,2,43,2.531,0.917,153
"Sen. Schatz, Brian",Democratic,2,35,2.838,0.896,158
"Sen. Murray, Patty",Democratic,8,164,12.249,0.884,164
"Sen. Moran, Jerry",Republican,3,48,3.463,0.883,165
"Sen. Coons, Christopher A.",Democratic,1,78,3.531,0.880,168
"Sen. Crapo, Mike",Republican,7,89,9.920,0.842,176
"Sen. Blumenthal, Richard",Democratic,0,85,3.345,0.834,178
"Sen. Menendez, Robert",Democratic,6,78,5.846,0.833,181
