"Downloaded on",02/17/2020,"11:59:34 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3014",https://www.congress.gov/bill/108th-congress/senate-bill/3014,"108th Congress (2003-2004)",,"Harmful Algal Bloom and Hypoxia Amendments Act of 2004","Sen. Snowe, Olympia J. [R-ME]",11/19/2004,,,,4,,12/10/2004,"Became Public Law No: 108-456."
"S. 2986",https://www.congress.gov/bill/108th-congress/senate-bill/2986,"108th Congress (2003-2004)",,"A bill to amend title 31 of the United States Code to increase the public debt limit.","Sen. Frist, William H. [R-TN]",11/16/2004,,,,0,,11/19/2004,"Became Public Law No: 108-415."
"S. 2965",https://www.congress.gov/bill/108th-congress/senate-bill/2965,"108th Congress (2003-2004)",,"A bill to amend the Livestock Mandatory Price Reporting Act of 1999 to modify the termination date for mandatory price reporting.","Sen. Cochran, Thad [R-MS]",10/08/2004,,,,1,"House - Agriculture",12/03/2004,"Became Public Law No: 108-444."
"S. 2896",https://www.congress.gov/bill/108th-congress/senate-bill/2896,"108th Congress (2003-2004)",,"A bill to modify and extend certain privatization requirements of the Communications Satellite Act of 1962.","Sen. Burns, Conrad R. [R-MT]",10/05/2004,,,,1,,10/25/2004,"Became Public Law No: 108-371."
"S. 2895",https://www.congress.gov/bill/108th-congress/senate-bill/2895,"108th Congress (2003-2004)",,"A bill to authorize the Gateway Arch in St. Louis, Missouri, to be illuminated by pink lights in honor of breast cancer awareness month.","Sen. Talent, Jim [R-MO]",10/05/2004,,,,1,,10/20/2004,"Became Public Law No: 108-348."
"S. 2883",https://www.congress.gov/bill/108th-congress/senate-bill/2883,"108th Congress (2003-2004)",,"Prevention of Child Abduction Partnership Act","Sen. Hatch, Orrin G. [R-UT]",10/01/2004,,,,1,,10/25/2004,"Became Public Law No: 108-370."
"S. 2873",https://www.congress.gov/bill/108th-congress/senate-bill/2873,"108th Congress (2003-2004)",,"A bill to extend the authority of the United States District Court for the Southern District of Iowa to hold court in Rock Island, Illinois.","Sen. Grassley, Chuck [R-IA]",09/30/2004,,,,5,"Senate - Judiciary",12/10/2004,"Became Public Law No: 108-455."
"S. 2864",https://www.congress.gov/bill/108th-congress/senate-bill/2864,"108th Congress (2003-2004)",,"Family Farmer Bankruptcy Relief Act of 2004","Sen. Grassley, Chuck [R-IA]",09/29/2004,,,,5,"House - Judiciary | Senate - Judiciary",10/25/2004,"Became Public Law No: 108-369."
"S. 2856",https://www.congress.gov/bill/108th-congress/senate-bill/2856,"108th Congress (2003-2004)",,"A bill to limit the transfer of certain Commodity Credit Coporation funds between conservation programs for technical assistance for the programs.","Sen. Cochran, Thad [R-MS]",09/28/2004,,,,2,"House - Agriculture | Senate - Agriculture, Nutrition, and Forestry",12/23/2004,"Became Public Law No: 108-498."
"S. 2845",https://www.congress.gov/bill/108th-congress/senate-bill/2845,"108th Congress (2003-2004)",,"Intelligence Reform and Terrorism Prevention Act of 2004","Sen. Collins, Susan M. [R-ME]",09/23/2004,,,,10,,12/17/2004,"Became Public Law No: 108-458."
"S. 2781",https://www.congress.gov/bill/108th-congress/senate-bill/2781,"108th Congress (2003-2004)",,"Comprehensive Peace in Sudan Act of 2004","Sen. Lugar, Richard G. [R-IN]",09/09/2004,,,,18,"House - International Relations | Senate - Foreign Relations",12/23/2004,"Became Public Law No: 108-497."
"S. 2742",https://www.congress.gov/bill/108th-congress/senate-bill/2742,"108th Congress (2003-2004)",,"A bill to extend certain authority of the Supreme Court Police, modify the venue of prosecutions relating to the Supreme Court building and grounds, and authorize the acceptance of gifts to the United States Supreme Court.","Sen. Hatch, Orrin G. [R-UT]",07/22/2004,,,,1,"House - Judiciary | Senate - Judiciary",10/21/2004,"Became Public Law No: 108-356."
"S. 2712",https://www.congress.gov/bill/108th-congress/senate-bill/2712,"108th Congress (2003-2004)",,"A bill to preserve the ability of the Federal Housing Administration to insure mortgages under sections 238 and 519 of the National Housing Act.","Sen. Reed, Jack [D-RI]",07/21/2004,,,,4,"Senate - Banking, Housing, and Urban Affairs",08/09/2004,"Became Public Law No: 108-301."
"S. 2693",https://www.congress.gov/bill/108th-congress/senate-bill/2693,"108th Congress (2003-2004)",,"A bill to designate the facility of the United States Postal Service located at 1475 Western Avenue, Suite 45, in Albany, New York, as the ""Lieutenant John F. Finn Post Office"".","Sen. Schumer, Charles E. [D-NY]",07/20/2004,,,,1,"House - Government Reform | Senate - Governmental Affairs",12/03/2004,"Became Public Law No: 108-443."
"S. 2657",https://www.congress.gov/bill/108th-congress/senate-bill/2657,"108th Congress (2003-2004)",,"Federal Employee Dental and Vision Benefits Enhancement Act of 2004","Sen. Collins, Susan M. [R-ME]",07/14/2004,,,,5,"Senate - Governmental Affairs",12/23/2004,"Became Public Law No: 108-496."
"S. 2640",https://www.congress.gov/bill/108th-congress/senate-bill/2640,"108th Congress (2003-2004)",,"A bill to designate the facility of the United States Postal Service located at 1050 North Hills Boulevard in Reno, Nevada, as the ""Guardians of Freedom Memorial Post Office Building"" and to authorize the installation of a plaque at such site, and for other purposes.","Sen. Ensign, John [R-NV]",07/13/2004,,,,1,"Senate - Governmental Affairs",12/03/2004,"Became Public Law No: 108-442."
"S. 2634",https://www.congress.gov/bill/108th-congress/senate-bill/2634,"108th Congress (2003-2004)",,"Garrett Lee Smith Memorial Act","Sen. Dodd, Christopher J. [D-CT]",07/08/2004,,,,39,"House - Energy and Commerce",10/21/2004,"Became Public Law No: 108-355."
"S. 2618",https://www.congress.gov/bill/108th-congress/senate-bill/2618,"108th Congress (2003-2004)",,"A bill to amend title XIX of the Social Security Act to extend medicare cost-sharing for the medicare part B premium for qualifying individuals through September 2005.","Sen. Grassley, Chuck [R-IA]",07/07/2004,,,,4,"House - Energy and Commerce | Senate - Finance",12/08/2004,"Became Public Law No: 108-448."
"S. 2511",https://www.congress.gov/bill/108th-congress/senate-bill/2511,"108th Congress (2003-2004)",,"Chimayo Water Supply System and Espanola Filtration Facility Act of 2004","Sen. Domenici, Pete V. [R-NM]",06/08/2004,,,,1,"House - Resources | Senate - Energy and Natural Resources",10/21/2004,"Became Public Law No: 108-354."
"S. 2508",https://www.congress.gov/bill/108th-congress/senate-bill/2508,"108th Congress (2003-2004)",,"A bill to redesignate the Ridges Basin Reservoir, Colorado, as Lake Nighthorse.","Sen. Domenici, Pete V. [R-NM]",06/07/2004,,,,1,"House - Resources | Senate - Energy and Natural Resources",10/18/2004,"Became Public Law No: 108-345."
"S. 2507",https://www.congress.gov/bill/108th-congress/senate-bill/2507,"108th Congress (2003-2004)",,"Child Nutrition and WIC Reauthorization Act of 2004 
","Sen. Cochran, Thad [R-MS]",06/07/2004,,,,0,"Senate - Agriculture, Nutrition, and Forestry",06/30/2004,"Became Public Law No: 108-265."
"S. 2486",https://www.congress.gov/bill/108th-congress/senate-bill/2486,"108th Congress (2003-2004)",,"Veterans Benefits Improvement Act of 2004","Sen. Specter, Arlen [R-PA]",06/01/2004,,,,2,"House - Veterans' Affairs | Senate - Veterans' Affairs",12/10/2004,"Became Public Law No: 108-454."
"S. 2484",https://www.congress.gov/bill/108th-congress/senate-bill/2484,"108th Congress (2003-2004)",,"Department of Veterans Affairs Health Care Personnel Enhancement Act of 2004","Sen. Specter, Arlen [R-PA]",06/01/2004,,,,0,"Senate - Veterans' Affairs",12/03/2004,"Became Public Law No: 108-445."
"S. 2415",https://www.congress.gov/bill/108th-congress/senate-bill/2415,"108th Congress (2003-2004)",,"A bill to designate the facility of the United States Postal Service located at 4141 Postmark Drive, Anchorage, Alaska, as the 'Robert J. Opinsky Post Office Building'.","Sen. Stevens, Ted [R-AK]",05/13/2004,,,,1,"House - Government Reform | Senate - Governmental Affairs",10/21/2004,"Became Public Law No: 108-353."
