"Downloaded on",02/17/2020,"11:58:18 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3201",https://www.congress.gov/bill/116th-congress/senate-bill/3201,"116th Congress (2019-2020)",,"Temporary Reauthorization and Study of the Emergency Scheduling of Fentanyl Analogues Act","Sen. Graham, Lindsey [R-SC]",01/16/2020,,,,6,"House - Energy and Commerce, Judiciary, Ways and Means",02/06/2020,"Became Public Law No: 116-114."
"S. 2710",https://www.congress.gov/bill/116th-congress/senate-bill/2710,"116th Congress (2019-2020)",,"A bill to prohibit the commercial export of covered munitions items to the Hong Kong Police Force.","Sen. Merkley, Jeff [D-OR]",10/24/2019,,,,17,"Senate - Banking, Housing, and Urban Affairs",11/27/2019,"Became Public Law No: 116-77."
"S. 2249",https://www.congress.gov/bill/116th-congress/senate-bill/2249,"116th Congress (2019-2020)",,"A bill to allow the Deputy Administrator of the Federal Aviation Administration on the date of enactment of this Act to continue to serve as such Deputy Administrator.","Sen. Wicker, Roger F. [R-MS]",07/24/2019,,,,0,"House - Transportation and Infrastructure",08/02/2019,"Became Public Law No: 116-38."
"S. 2047",https://www.congress.gov/bill/116th-congress/senate-bill/2047,"116th Congress (2019-2020)",,"A bill to provide for a 2-week extension of the Medicaid community mental health services demonstration program, and for other purposes.","Sen. Schumer, Charles E. [D-NY]",06/27/2019,,,,0,,07/05/2019,"Became Public Law No: 116-29."
"S. 1838",https://www.congress.gov/bill/116th-congress/senate-bill/1838,"116th Congress (2019-2020)",,"Hong Kong Human Rights and Democracy Act of 2019","Sen. Rubio, Marco [R-FL]",06/13/2019,,,,56,"Senate - Foreign Relations",11/27/2019,"Became Public Law No: 116-76."
"S. 1790",https://www.congress.gov/bill/116th-congress/senate-bill/1790,"116th Congress (2019-2020)",,"National Defense Authorization Act 
for Fiscal Year 2020","Sen. Inhofe, James M. [R-OK]",06/11/2019,,,,0,"Senate - Armed Services",12/20/2019,"Became Public Law No: 116-92."
"S. 1749",https://www.congress.gov/bill/116th-congress/senate-bill/1749,"116th Congress (2019-2020)",,"Protecting Affordable Mortgages for Veterans Act of 2019","Sen. Sinema, Kyrsten [D-AZ]",06/05/2019,,,,1,"House - Financial Services, Veterans' Affairs",07/25/2019,"Became Public Law No: 116-33."
"S. 1693",https://www.congress.gov/bill/116th-congress/senate-bill/1693,"116th Congress (2019-2020)",,"National Flood Insurance Program Extension Act of 2019","Sen. Kennedy, John [R-LA]",05/23/2019,,,,0,,05/31/2019,"Became Public Law No: 116-19."
"S. 1689",https://www.congress.gov/bill/116th-congress/senate-bill/1689,"116th Congress (2019-2020)",,"A bill to permit States to transfer certain funds from the clean water revolving fund of a State to the drinking water revolving fund of the State in certain circumstances, and for other purposes.","Sen. Booker, Cory A. [D-NJ]",05/23/2019,,,,1,"Senate - Environment and Public Works",10/04/2019,"Became Public Law No: 116-63."
"S. 1436",https://www.congress.gov/bill/116th-congress/senate-bill/1436,"116th Congress (2019-2020)",,"A bill to make technical corrections to the computation of average pay under Public Law 110-279.","Sen. Brown, Sherrod [D-OH]",05/13/2019,,,,2,,06/12/2019,"Became Public Law No: 116-21."
"S. 1379",https://www.congress.gov/bill/116th-congress/senate-bill/1379,"116th Congress (2019-2020)",,"Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2019","Sen. Burr, Richard [R-NC]",05/08/2019,,,,3,"Senate - Health, Education, Labor, and Pensions",06/24/2019,"Became Public Law No: 116-22."
"S. 1196",https://www.congress.gov/bill/116th-congress/senate-bill/1196,"116th Congress (2019-2020)",,"A bill to designate the facility of the United States Postal Service located at 1715 Linnerud Drive in Sun Prairie, Wisconsin, as the ""Fire Captain Cory Barr Post Office Building"".","Sen. Baldwin, Tammy [D-WI]",04/11/2019,,,,1,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",10/31/2019,"Became Public Law No: 116-66."
"S. 998",https://www.congress.gov/bill/116th-congress/senate-bill/998,"116th Congress (2019-2020)",,"Supporting and Treating Officers In Crisis Act of 2019","Sen. Hawley, Josh  [R-MO]",04/03/2019,,,,21,"House - Judiciary | Senate - Judiciary",07/25/2019,"Became Public Law No: 116-32."
"S. 863",https://www.congress.gov/bill/116th-congress/senate-bill/863,"116th Congress (2019-2020)",,"A bill to amend title 38, United States Code, to clarify the grade and pay of podiatrists of the Department of Veterans Affairs.","Sen. Cassidy, Bill [R-LA]",03/25/2019,,,,1,"House - Veterans' Affairs",04/08/2019,"Became Public Law No: 116-12."
