"Downloaded on",02/17/2020,"12:02:27 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22bill-status%22%3A%5B%22law%22%5D%2C%22congress%22%3A%2293%22%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 4073",https://www.congress.gov/bill/93rd-congress/senate-bill/4073,"93rd Congress (1973-1974)",,"An original bill to extend certain authorizations under the Federal Water Pollution Control Act, as amended, and for other purposes.","Sen. Randolph, Jennings [D-WV]",10/02/1974,,,,0,"House - Public Works | Senate - Public Works",01/02/1975,"Public law 93-592."
"S. 4040",https://www.congress.gov/bill/93rd-congress/senate-bill/4040,"93rd Congress (1973-1974)",,"Veterans and Survivors Pension Adjustment Act","Sen. Hartke, Vance [D-IN]",09/24/1974,,,,16,"House - Veterans' Affairs | Senate - Veterans' Affairs",12/21/1974,"Public law 93-527."
"S. 4016",https://www.congress.gov/bill/93rd-congress/senate-bill/4016,"93rd Congress (1973-1974)",,"Presidential Recordings Preservation Act","Sen. Nelson, Gaylord [D-WI]",09/18/1974,,,,12,"House - House Administration | Senate - Government Operations",12/19/1974,"Public law 93-526."
"S. 4013",https://www.congress.gov/bill/93rd-congress/senate-bill/4013,"93rd Congress (1973-1974)",,"A bill to amend the Act incorporating The American Legion so as to redefine eligibility for membership therein.","Sen. Eastland, James O. [D-MS]",09/17/1974,,,,3,"House - Judiciary | Senate - Judiciary",12/27/1974,"Public law 93-557."
"S. 3979",https://www.congress.gov/bill/93rd-congress/senate-bill/3979,"93rd Congress (1973-1974)",,"An Act to increase on an emergency basis the availability of reasonably priced mortgage credit for housing.","Sen. Cranston, Alan [D-CA]",09/10/1974,,,,13,"Senate - Banking, Housing, and Urban Affairs",10/18/1974,"Public law 93-449."
"S. 3976",https://www.congress.gov/bill/93rd-congress/senate-bill/3976,"93rd Congress (1973-1974)",,"An Act to amend title 17 of the United States Code to remove the expiration date for a limited copyright in sound recordings, to increase the criminal penalties for piracy and counterfeiting of sound recordings, to extend the duration of copyright protection in certain cases, to establish a National Commission on New Technological Uses of Copyrighted Works, and for other purposes.","Sen. McClellan, John L. [D-AR]",09/09/1974,,,,2,"House - Judiciary",12/31/1974,"Public law 93-573."
"S. 3934",https://www.congress.gov/bill/93rd-congress/senate-bill/3934,"93rd Congress (1973-1974)",,"Federal-Aid Highway Amendments","Sen. Bentsen, Lloyd M. [D-TX]",08/20/1974,,,,0,"House - Public Works | Senate - Public Works",01/04/1975,"Public law 93-643."
"S. 3919",https://www.congress.gov/bill/93rd-congress/senate-bill/3919,"93rd Congress (1973-1974)",,"Council on Wage and Price Stability Act","Sen. Sparkman, John J. [D-AL]",08/15/1974,,,,1,"Senate - Banking, Housing, and Urban Affairs",08/24/1974,"Public law 93-387."
"S. 3906",https://www.congress.gov/bill/93rd-congress/senate-bill/3906,"93rd Congress (1973-1974)",,"An original bill to amend title 10, United States Code, by repealing the requirement that only certain officers with aeronautical ratings may command flying units of the Air Force.","Sen. Thurmond, Strom [R-SC]",08/15/1974,,,,0,"House - Armed Services | Senate - Armed Services",12/18/1974,"Public law 93-525."
"S. 3838",https://www.congress.gov/bill/93rd-congress/senate-bill/3838,"93rd Congress (1973-1974)",,"An Act to authorize the regulation of interest rates payable on obligations issued by affiliates of certain depository institutions, and for other purposes.","Sen. Proxmire, William [D-WI]",07/30/1974,,,,1,"Senate - Banking, Housing, and Urban Affairs",10/29/1974,"Public law 93-501."
"S. 3802",https://www.congress.gov/bill/93rd-congress/senate-bill/3802,"93rd Congress (1973-1974)",,"A bill to provide available nuclear information to Committees and Members of Congress.","Sen. Symington, Stuart [D-MO]",07/24/1974,,,,0,"Senate - Joint Atomic Energy",12/06/1974,"Public law 93-514."
"S. 3792",https://www.congress.gov/bill/93rd-congress/senate-bill/3792,"93rd Congress (1973-1974)",,"Export Administration Amendments","Sen. Stevenson, Adlai E., III [D-IL]",07/22/1974,,,,0,"Senate - Banking, Housing, and Urban Affairs",10/29/1974,"Public law 93-500."
"S. 3782",https://www.congress.gov/bill/93rd-congress/senate-bill/3782,"93rd Congress (1973-1974)",,"An Act to amend the Public Health Service Act to extend through fiscal year 1975 the scholarship program for the National Health Service Corps and the loan program for health professions students.","Sen. Javits, Jacob K. [R-NY]",07/18/1974,,,,16,"House - Commerce",08/23/1974,"Public law 93-385."
"S. 3705",https://www.congress.gov/bill/93rd-congress/senate-bill/3705,"93rd Congress (1973-1974)",,"An original bill to amend title 38, United States Code, to provide a 10-year delimiting period for the pursuit of educational programs by veterans, wives, and widows.","Sen. Hartke, Vance [D-IN]",06/26/1974,,,,0,"Senate - Veterans' Affairs",07/10/1974,"Public law 93-337."
