"Downloaded on",02/17/2020,"12:01:54 EST"
"Search URL",https://www.congress.gov/search?s=2&searchResultViewType=expanded&KWICView=false&q=%7B%22source%22%3A%5B%22legislation%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%5B%2296%22%2C%2295%22%2C%2294%22%5D%2C%22bill-status%22%3A%5B%22law%22%5D%7D

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3261",https://www.congress.gov/bill/96th-congress/senate-bill/3261,"96th Congress (1979-1980)",,"A bill to amend section 222 of the Communications Act of 1934 in order to include Hawaii in the same category as other States for the purposes of such section.","Sen. Inouye, Daniel K. [D-HI]",12/10/1980,,,,0,"House - Commerce",12/24/1980,"Public Law 96-590."
"S. 3235",https://www.congress.gov/bill/96th-congress/senate-bill/3235,"96th Congress (1979-1980)",,"A bill to clarify certain effective date provisions of the Customs Courts Act of 1980.","Sen. DeConcini, Dennis [D-AZ]",12/02/1980,,,,0,,12/17/1980,"Public Law 96-542."
"S. 3212",https://www.congress.gov/bill/96th-congress/senate-bill/3212,"96th Congress (1979-1980)",,"A bill to designate the ""Thomas J. McIntyre Federal Building"".","Sen. Moynihan, Daniel Patrick [D-NY]",11/18/1980,,,,2,"Senate - Environment and Public Works",12/24/1980,"Public Law 96-588."
"S. 3193",https://www.congress.gov/bill/96th-congress/senate-bill/3193,"96th Congress (1979-1980)",,"A bill to designate the Jacob K. Javits Federal Building.","Sen. Moynihan, Daniel Patrick [D-NY]",11/12/1980,,,,4,"House - Public Works and Transportation | Senate - Commerce, Science, and Transportation",12/04/1980,"Public Law 96-498."
"S. 3180",https://www.congress.gov/bill/96th-congress/senate-bill/3180,"96th Congress (1979-1980)",,"A bill to repeal a provision of the Refugee Education Assistance Act of 1980.","Sen. Williams, Harrison A., Jr. [D-NJ]",09/30/1980,,,,2,,10/10/1980,"Public Law 96-424."
"S. 3152",https://www.congress.gov/bill/96th-congress/senate-bill/3152,"96th Congress (1979-1980)",,"An act to amend the Public Works and Economic Development Act of 1965 and the Appalachian Regional Development Act of 1965 to extend the authorization for such Acts for two additional years.","Sen. Randolph, Jennings [D-WV]",09/24/1980,,,,6,,12/08/1980,"Public Law 96-506."
"S. 3148",https://www.congress.gov/bill/96th-congress/senate-bill/3148,"96th Congress (1979-1980)",,"A bill to a name the Federal Building located at 444 Southeast Quincy, Topeka, Kansas, the ""Frank Carlson Federal Building"".","Sen. Dole, Robert J. [R-KS]",09/24/1980,,,,1,"Senate - Environment and Public Works",10/10/1980,"Public Law 96-426."
"S. 3096",https://www.congress.gov/bill/96th-congress/senate-bill/3096,"96th Congress (1979-1980)",,"A bill to amend the Wild and Scenic Rivers Act to authorize the acquisition of certain lands in Douglas County, Wisconsin.","Sen. Nelson, Gaylord [D-WI]",09/08/1980,,,,0,"Senate - Energy and Natural Resources",12/23/1980,"Public Law 96-580."
"S. 3074",https://www.congress.gov/bill/96th-congress/senate-bill/3074,"96th Congress (1979-1980)",,"Department of Energy National Security and Military Applications of Nuclear Energy Authorization Act of 1981","Sen. Jackson, Henry M. [D-WA]",08/26/1980,,,,0,"Senate - Armed Services",12/17/1980,"Public Law 96-540."
"S. 3072",https://www.congress.gov/bill/96th-congress/senate-bill/3072,"96th Congress (1979-1980)",,"Rattlesnake National Recreation Area and Wilderness Act of 1980","Sen. Melcher, John [D-MT]",08/26/1980,,,,0,"Senate - Energy and Natural Resources",10/19/1980,"Public Law 96-476."
